,t,label,d,f
887,t886,n887,2,0.295500975645107
888,t887,n888,2,0.6989198454942275
889,t888,n889,2,0.5358926286221248
890,t889,n890,2,0.641184257587697
891,t890,n891,2,0.6574491593433482
892,t891,n892,2,0.32373480550119593
893,t892,n893,2,0.22510774865452088
894,t893,n894,2,0.580632987003345
895,t894,n895,2,0.7054939992738105
896,t895,n896,2,0.8690109512579117
897,t896,n897,2,0.24619349350701025
898,t897,n898,2,0.5953507576739298
899,t898,n899,2,0.2198780096835512
900,t899,n900,3,0.3770586720240693
901,t900,n901,2,0.24942705411468702
902,t901,n902,2,0.3734676624634963
903,t902,n903,2,0.23547256197351607
904,t903,n904,2,0.5014747216368138
905,t904,n905,3,0.9816570682501635
906,t905,n906,2,0.8000139476158892
907,t906,n907,2,0.17921696161550504
908,t907,n908,2,0.9507451583480867
909,t908,n909,2,0.4761267628681354
910,t909,n910,2,0.14377114006973346
911,t910,n911,2,0.7376175360276396
912,t911,n912,2,0.8962941327959626
913,t912,n913,2,0.3045685239176126
914,t913,n914,2,0.6008486972004751
915,t914,n915,2,0.32983276519425775
916,t915,n916,2,0.5593329039028617
917,t916,n917,2,0.6033778923635127
918,t917,n918,2,0.043427161297745265
919,t918,n919,2,0.6029384064406891
920,t919,n920,2,0.19531624720996277
921,t920,n921,2,0.9527772128785313
922,t921,n922,2,0.4305902863176061
923,t922,n923,2,0.34862802251056857
924,t923,n924,2,0.19155551221694656
925,t924,n925,2,0.03778168526276848
926,t925,n926,2,0.7161255986711598
927,t926,n927,2,0.2025478934543018
928,t927,n928,2,0.43802430333888287
929,t928,n929,2,0.3785596476249642
930,t929,n930,2,0.38497708891207705
931,t930,n931,2,0.7685494423594046
932,t931,n932,2,0.650369482074196
933,t932,n933,2,0.1341220595197017
934,t933,n934,2,0.9811153716184065
935,t934,n935,2,0.7169511404608018
936,t935,n936,2,0.6141856718120852
937,t936,n937,2,0.2531417378645674
938,t937,n938,2,0.19773289291001184
939,t938,n939,2,0.5713822338516423
940,t939,n940,2,0.7335474437874206
941,t940,n941,2,0.2111415499271484
942,t941,n942,2,0.29325507902548187
943,t942,n943,2,0.4505318226758064
944,t943,n944,2,0.9032021185326351
945,t944,n945,2,0.37555293434263504
946,t945,n946,2,0.45149321808541854
947,t946,n947,3,0.7915104266494117
948,t947,n948,2,0.8415939248216956
949,t948,n949,2,0.14777511161030654
950,t949,n950,2,0.5225419513649174
951,t950,n951,2,0.8876277829759274
952,t951,n952,2,0.46206432084502536
953,t952,n953,2,0.307051550510398
954,t953,n954,2,0.1573883483055114
955,t954,n955,2,0.5618926714395012
956,t955,n956,2,0.48296144913348904
957,t956,n957,2,0.08231515324747596
958,t957,n958,2,0.3965361219881971
959,t958,n959,2,0.407969300026763
960,t959,n960,2,0.9229567205323984
961,t960,n961,2,0.7910602828674874
962,t961,n962,3,0.4668483507386856
963,t962,n963,2,0.7534155345447117
964,t963,n964,2,0.35697387907222
965,t964,n965,2,0.2748615826739764
966,t965,n966,2,0.1727362165067775
967,t966,n967,2,0.5593815376983224
968,t967,n968,2,0.10565680893822826
969,t968,n969,2,0.3142631161556456
970,t969,n970,2,0.8449142117270324
971,t970,n971,2,0.6006680535343113
972,t971,n972,2,0.3962348919259441
973,t972,n973,2,0.7818657492901326
974,t973,n974,2,0.07467567516966556
975,t974,n975,2,0.02151175523234594
976,t975,n976,2,0.3236697409967453
977,t976,n977,2,0.46308253225540397
978,t977,n978,2,0.9550280174390751
979,t978,n979,2,0.0075916898548837874
980,t979,n980,2,0.9099299465745719
981,t980,n981,2,0.1976004610698192
982,t981,n982,2,0.7277619477663941
983,t982,n983,2,0.42029416014593235
984,t983,n984,2,0.3384953703086966
985,t984,n985,2,0.7966507832931186
986,t985,n986,2,0.8379214040532996
987,t986,n987,2,0.8889963517447196
