,t,n_start,n_end,weight,active
1671,t836,n12,n837,0,1
1672,t836,n63,n837,0,1
1673,t837,n194,n838,0,1
1674,t837,n696,n838,0,1
1675,t838,n5,n839,0,1
1676,t838,n764,n839,0,1
1677,t839,n693,n840,0,1
1678,t839,n298,n840,0,1
1679,t840,n210,n841,0,1
1680,t840,n7,n841,0,1
1681,t841,n576,n842,0,1
1682,t841,n2,n842,0,1
1683,t842,n2,n843,0,1
1684,t842,n446,n843,0,1
1685,t843,n832,n844,0,1
1686,t843,n2,n844,0,1
1687,t844,n81,n845,0,1
1688,t844,n757,n845,0,1
1689,t845,n216,n846,0,1
1690,t845,n123,n846,0,1
1691,t846,n455,n847,0,1
1692,t846,n153,n847,0,1
1693,t847,n212,n848,0,1
1694,t847,n3,n848,0,1
1695,t848,n104,n849,0,1
1696,t848,n5,n849,0,1
1697,t849,n161,n850,0,1
1698,t849,n12,n850,0,1
1699,t850,n6,n851,0,1
1700,t850,n2,n851,0,1
1701,t851,n22,n852,0,1
1702,t851,n493,n852,0,1
1703,t852,n808,n853,0,1
1704,t852,n63,n853,0,1
1705,t853,n6,n854,0,1
1706,t853,n24,n854,0,1
1707,t854,n646,n855,0,1
1708,t854,n7,n855,0,1
1709,t855,n7,n856,0,1
1710,t855,n64,n856,0,1
1711,t856,n77,n857,0,1
1712,t856,n653,n857,0,1
1713,t857,n753,n858,0,1
1714,t857,n19,n858,0,1
1715,t858,n258,n859,0,1
1716,t858,n54,n859,0,1
1717,t859,n738,n860,0,1
1718,t859,n506,n860,0,1
1719,t860,n204,n861,0,1
1720,t860,n361,n861,0,1
1721,t861,n5,n862,0,1
1722,t861,n411,n862,0,1
1723,t862,n2,n863,0,1
1724,t862,n516,n863,0,1
1725,t863,n363,n864,0,1
1726,t863,n701,n864,0,1
1727,t864,n465,n865,0,1
1728,t864,n187,n865,0,1
1729,t865,n130,n866,0,1
1730,t865,n648,n866,0,1
1731,t866,n2,n867,0,1
1732,t866,n91,n867,0,1
1733,t867,n7,n868,0,1
1734,t867,n6,n868,0,1
1735,t868,n6,n869,0,1
1736,t868,n81,n869,0,1
1737,t869,n751,n870,0,1
1738,t869,n583,n870,0,1
1739,t870,n349,n871,0,1
1740,t870,n36,n871,0,1
1741,t871,n6,n872,0,1
1742,t871,n442,n872,0,1
1743,t872,n133,n873,0,1
1744,t872,n178,n873,0,1
1745,t873,n6,n874,0,1
1746,t873,n85,n874,0,1
1747,t874,n483,n875,0,1
1748,t874,n7,n875,0,1
