,t,label,d,f
8845,t8844,n8845,2,0.8739965795179362
8846,t8845,n8846,2,0.6130806329931066
8847,t8846,n8847,3,0.577451673854714
8848,t8847,n8848,2,0.9617689155184271
8849,t8848,n8849,2,0.10954368856004704
8850,t8849,n8850,2,0.5530212193507349
8851,t8850,n8851,2,0.7491081349221451
8852,t8851,n8852,2,0.08867872140405952
8853,t8852,n8853,2,0.36816356838423403
8854,t8853,n8854,2,0.5557262818858727
8855,t8854,n8855,2,0.06014106845726075
8856,t8855,n8856,2,0.4517388484535535
8857,t8856,n8857,2,0.6116301998963513
8858,t8857,n8858,2,0.780923970184867
8859,t8858,n8859,2,0.39868754854541866
8860,t8859,n8860,2,0.0519065465567945
8861,t8860,n8861,2,0.025436664237392437
8862,t8861,n8862,2,0.23363949043504895
8863,t8862,n8863,2,0.4675349128678895
8864,t8863,n8864,2,0.019606745627596123
8865,t8864,n8865,2,0.07628045964044383
8866,t8865,n8866,2,0.0902379601953971
8867,t8866,n8867,2,0.23897120057871046
8868,t8867,n8868,2,0.7518262678245885
8869,t8868,n8869,2,0.9879629378352042
8870,t8869,n8870,2,0.4799100649239959
8871,t8870,n8871,2,0.9199494937780804
8872,t8871,n8872,2,0.11197649516675912
8873,t8872,n8873,3,0.8312973623006555
8874,t8873,n8874,2,0.5577640058881522
8875,t8874,n8875,2,0.6231246581126733
8876,t8875,n8876,2,0.5820101600629112
8877,t8876,n8877,2,0.35488052300326167
8878,t8877,n8878,2,0.2364146265279805
8879,t8878,n8879,2,0.26810414366678714
8880,t8879,n8880,2,0.43656801365341025
8881,t8880,n8881,2,0.07357999483172684
8882,t8881,n8882,2,0.26514820295693464
8883,t8882,n8883,2,0.8730781374848556
8884,t8883,n8884,2,0.19639172032262597
8885,t8884,n8885,2,0.422022122928674
8886,t8885,n8886,2,0.7692014666667706
8887,t8886,n8887,2,0.21205013339112122
8888,t8887,n8888,2,0.8737555102323213
8889,t8888,n8889,2,0.277857642393471
8890,t8889,n8890,2,0.24921020322557075
8891,t8890,n8891,2,0.7573444732957897
8892,t8891,n8892,2,0.40148360737818023
8893,t8892,n8893,3,0.11049329845942446
8894,t8893,n8894,2,0.4145651560172685
8895,t8894,n8895,2,0.8165134571194637
8896,t8895,n8896,2,0.49277845059549286
8897,t8896,n8897,2,0.5588926273775597
8898,t8897,n8898,2,0.8129412256761223
8899,t8898,n8899,2,0.5093829715937195
8900,t8899,n8900,2,0.4297217260107121
8901,t8900,n8901,2,0.3721075422966865
8902,t8901,n8902,2,0.9212027153943416
8903,t8902,n8903,2,0.05443264138029025
8904,t8903,n8904,2,0.5756023558529042
8905,t8904,n8905,2,0.10715887638386778
8906,t8905,n8906,2,0.7075391239104656
8907,t8906,n8907,2,0.4539381387738798
8908,t8907,n8908,2,0.1947901816647658
8909,t8908,n8909,2,0.7314786334637531
8910,t8909,n8910,2,0.49588210406395317
8911,t8910,n8911,2,0.029657891065893338
8912,t8911,n8912,2,0.726728442824029
8913,t8912,n8913,2,0.7521163113334504
8914,t8913,n8914,2,0.2432349346617766
8915,t8914,n8915,2,0.602699253037691
8916,t8915,n8916,3,0.8303007325614651
8917,t8916,n8917,2,0.052412465065101
8918,t8917,n8918,2,0.24852549451308714
8919,t8918,n8919,2,0.7827105318173474
8920,t8919,n8920,2,0.8234716035200074
8921,t8920,n8921,2,0.15333318760162618
8922,t8921,n8922,2,0.6106822068988664
8923,t8922,n8923,2,0.49208259566343104
8924,t8923,n8924,2,0.6542579089387184
8925,t8924,n8925,2,0.6395986407195512
8926,t8925,n8926,2,0.657284090060982
8927,t8926,n8927,2,0.5282601716119157
8928,t8927,n8928,2,0.7171005750966278
8929,t8928,n8929,2,0.836374092358481
8930,t8929,n8930,2,0.10250221706765317
8931,t8930,n8931,2,0.7133800695726156
8932,t8931,n8932,2,0.05995717848593085
8933,t8932,n8933,2,0.4016148291068201
8934,t8933,n8934,2,0.4693200739308725
8935,t8934,n8935,2,0.034008668266719555
8936,t8935,n8936,2,0.1889188554431559
8937,t8936,n8937,2,0.385689647077479
8938,t8937,n8938,2,0.22450361619738546
8939,t8938,n8939,3,0.4520990738288576
8940,t8939,n8940,2,0.009512435296766153
8941,t8940,n8941,2,0.3895984221908565
8942,t8941,n8942,2,0.6216426644678572
8943,t8942,n8943,2,0.07309111072978813
8944,t8943,n8944,2,0.880211848435416
8945,t8944,n8945,2,0.6943152293018932
8946,t8945,n8946,2,0.31497922897970276
8947,t8946,n8947,2,0.9954224937260505
8948,t8947,n8948,2,0.20234887570279603
8949,t8948,n8949,2,0.8500318460330568
8950,t8949,n8950,3,0.7265594166898937
8951,t8950,n8951,2,0.3662222335266224
8952,t8951,n8952,2,0.203835776611909
8953,t8952,n8953,2,0.9760260293896382
8954,t8953,n8954,2,0.25478731646768693
8955,t8954,n8955,2,0.8893595236356375
8956,t8955,n8956,2,0.007824907471200793
8957,t8956,n8957,2,0.7934546683509828
8958,t8957,n8958,2,0.9262825255111637
8959,t8958,n8959,2,0.32343253602971467
8960,t8959,n8960,2,0.8645227789036934
8961,t8960,n8961,2,0.6534443629351551
8962,t8961,n8962,2,0.7703522114460065
8963,t8962,n8963,2,0.09992723563950223
8964,t8963,n8964,2,0.20016625633616258
8965,t8964,n8965,2,0.7192822935597549
8966,t8965,n8966,2,0.05105541159366822
8967,t8966,n8967,2,0.004378133858443989
8968,t8967,n8968,3,0.8813228769280091
8969,t8968,n8969,2,0.6181492350112349
8970,t8969,n8970,2,0.11974876659877998
8971,t8970,n8971,2,0.37763330513195836
8972,t8971,n8972,3,0.8760771530052092
8973,t8972,n8973,2,0.9005149124038526
8974,t8973,n8974,2,0.7332668082853682
8975,t8974,n8975,2,0.8696366963988031
8976,t8975,n8976,2,0.0031860695161084474
8977,t8976,n8977,2,0.6143846545704577
8978,t8977,n8978,2,0.022901462651319093
8979,t8978,n8979,2,0.9898812129283135
8980,t8979,n8980,2,0.4713805548156147
8981,t8980,n8981,2,0.5701864544321256
8982,t8981,n8982,2,0.41165135063464897
8983,t8982,n8983,2,0.18143228438175707
8984,t8983,n8984,2,0.10870142652697523
8985,t8984,n8985,2,0.483778165739995
8986,t8985,n8986,2,0.4052119297699984
8987,t8986,n8987,2,0.3399709603760158
8988,t8987,n8988,2,0.8956646585896364
8989,t8988,n8989,2,0.8892677508247392
8990,t8989,n8990,2,0.8554471583236525
8991,t8990,n8991,2,0.12039598290417519
8992,t8991,n8992,2,0.3807693758179893
8993,t8992,n8993,2,0.2929463817014133
8994,t8993,n8994,2,0.4175666211477467
8995,t8994,n8995,3,0.8007736264719364
8996,t8995,n8996,2,0.011587592497981913
8997,t8996,n8997,2,0.024840153229931494
8998,t8997,n8998,2,0.05061014203947989
8999,t8998,n8999,2,0.10016504041309959
9000,t8999,n9000,2,0.6720623676525403
9001,t9000,n9001,2,0.7562507352500278
9002,t9001,n9002,2,0.9884399559576348
9003,t9002,n9003,2,0.7808923931376408
9004,t9003,n9004,2,0.41972584997188667
9005,t9004,n9005,2,0.9252301317444723
9006,t9005,n9006,2,0.6244189974638823
9007,t9006,n9007,2,0.5598954444022405
9008,t9007,n9008,2,0.4440493138819085
9009,t9008,n9009,2,0.10603875097768556
9010,t9009,n9010,2,0.5790308682126316
9011,t9010,n9011,2,0.7310270238436272
9012,t9011,n9012,2,0.10200530016876619
9013,t9012,n9013,2,0.4429689528281707
9014,t9013,n9014,2,0.9756458450731363
9015,t9014,n9015,2,0.3074390910261643
9016,t9015,n9016,5,0.35717818462103257
9017,t9016,n9017,2,0.774714160369187
9018,t9017,n9018,2,0.13879456421358216
9019,t9018,n9019,2,0.015211853617552284
9020,t9019,n9020,2,0.09150931263809592
9021,t9020,n9021,2,0.3260950866391499
9022,t9021,n9022,2,0.10103255018156143
9023,t9022,n9023,2,0.6183050858694547
9024,t9023,n9024,2,0.680476165471713
9025,t9024,n9025,2,0.8045823011704544
9026,t9025,n9026,2,0.3927795726344506
9027,t9026,n9027,3,0.8971821680395231
9028,t9027,n9028,2,0.005006696272746969
9029,t9028,n9029,2,0.06169708366960702
9030,t9029,n9030,3,0.5221056828191845
9031,t9030,n9031,2,0.5821944765898256
9032,t9031,n9032,3,0.9178039155688512
9033,t9032,n9033,2,0.9820464869768268
9034,t9033,n9034,2,0.8002171153237988
9035,t9034,n9035,2,0.046160228606043074
9036,t9035,n9036,2,0.31656825027753854
